potential,N,d,alpha_fit,beta_fit,lambda_alg,sigma_x,eta,ratio_h_mean,ratio_h_std,var_h_mean,d_max_h_sq_mean,n_close_estimate,scaling_exponent,n_qsd_samples
quadratic,100,2,0.5,3.0,1.0,0.1,0.1,0.0773633707573114,0.00861849648386256,4.528897495496841,59.18734051539508,4234.819903029966,1.8134174727662524,21
quadratic,100,2,0.5,10.0,1.0,0.1,0.1,0.0785306014683575,0.006176477571077879,6.748556926136925,87.30109809525732,4226.979147642182,1.813015052695409,21
quadratic,100,2,1.0,0.1,1.0,0.1,0.1,0.07372356012249279,0.009771280304894813,0.9284156376850747,12.802616788380073,4274.823535663643,1.8154590958982586,21
quadratic,100,2,1.0,0.5,1.0,0.1,0.1,0.07733323846361125,0.010202402813076604,0.8739301507760372,11.499932934739746,4240.056306645049,1.8136858119641575,21
quadratic,100,2,1.0,1.0,1.0,0.1,0.1,0.07173201827245518,0.011739306159172923,0.8781362566209975,12.498740223469554,4297.420187218489,1.8166039098031665,21
quadratic,100,2,1.0,3.0,1.0,0.1,0.1,0.06679782039047648,0.010317875186331616,0.8602764675659793,13.181727898880194,4347.372002998893,1.8191134020987778,21
quadratic,100,2,1.0,10.0,1.0,0.1,0.1,0.06256425108229076,0.007621978548909357,3.673648084912981,59.404748205467406,4381.590159728196,1.8208158762868496,21
quadratic,100,2,3.0,0.1,1.0,0.1,0.1,0.07423847080420407,0.00946311327439174,0.8402406681506407,11.516280575508993,4270.388852857986,1.8152337113955892,21
quadratic,100,2,3.0,0.5,1.0,0.1,0.1,0.07110309973593651,0.008208498246946127,0.837448680108147,11.886801248070837,4295.480203100005,1.8165058609053928,21
quadratic,100,2,3.0,1.0,1.0,0.1,0.1,0.07216871361476558,0.006725715234902834,0.7516856250752296,10.446321179592655,4280.430294883447,1.8157437145650281,21
quadratic,100,2,3.0,3.0,1.0,0.1,0.1,0.06634885298724824,0.010404365617046153,0.8054495343849772,12.395053783353259,4350.184720080272,1.8192538493058585,21
quadratic,100,2,3.0,10.0,1.0,0.1,0.1,0.062363234629971766,0.00805397588492448,0.8711026953976779,14.178204724789582,4385.604374949801,1.8210147257175138,21
quadratic,100,2,10.0,0.1,1.0,0.1,0.1,0.07517615613233027,0.011508159380755644,0.7478797777688929,10.155530019157064,4263.573859406533,1.8148868954111375,21
quadratic,100,2,10.0,0.5,1.0,0.1,0.1,0.07809664989959468,0.009768200452246448,0.775836285824577,10.026338751851288,4226.201802047308,1.8129751154332887,21
quadratic,100,2,10.0,1.0,1.0,0.1,0.1,0.07249588772523857,0.007384104031728338,0.7114206723691452,9.933941899637405,4283.8485673093055,1.8159170551293549,21
quadratic,100,2,10.0,3.0,1.0,0.1,0.1,0.07329677496308898,0.0085297301530993,0.7927736558374905,10.993002729770065,4278.837934160985,1.815662918699723,21
quadratic,100,2,10.0,10.0,1.0,0.1,0.1,0.06919565900404553,0.009199254813185103,0.7351606944132418,10.751880004455389,4316.249163766147,1.8175532536084646,21
quadratic,200,2,0.1,0.1,1.0,0.1,0.1,0.07467744408754483,0.008829386154977801,6.947632712977273,93.91501523669476,17040.885232050656,1.838955667470645,21
quadratic,200,2,0.1,0.5,1.0,0.1,0.1,0.07314921219266579,0.0037002618367259262,13.500136667773837,184.77419094151546,17077.48433934761,1.8393605923083352,21
quadratic,200,2,0.1,1.0,1.0,0.1,0.1,0.06494835795782727,0.005838503734909016,18.22238537527266,283.4220889214336,17428.233565757953,1.843197776441158,21
quadratic,200,2,0.1,3.0,1.0,0.1,0.1,0.1309045308013484,0.0040272835321390555,60.618198309625896,463.17823274148225,14765.02184044048,1.8118990632747038,21
quadratic,200,2,0.1,10.0,1.0,0.1,0.1,0.11792112926009408,0.0045983892979403924,66.59957503704797,565.0812014106388,15285.66337929541,1.8184396984006839,21
quadratic,200,2,0.5,0.1,1.0,0.1,0.1,0.05974472829056047,0.008000150077074998,0.912646063559112,15.543749303257554,17651.413321835174,1.8455993587296327,21
quadratic,200,2,0.5,0.5,1.0,0.1,0.1,0.059897228583784934,0.006884668604715201,1.1909597792795725,20.172101364365677,17638.402152026818,1.845460184442987,21
quadratic,200,2,0.5,1.0,1.0,0.1,0.1,0.07005004781302149,0.00517441097743933,2.7956144582657587,40.0887044760976,17210.5714117725,1.8408257596165623,21
quadratic,200,2,0.5,3.0,1.0,0.1,0.1,0.0618593613618321,0.005294492343331855,5.768295319307418,93.9623348760144,17544.422314784395,1.8444518675416988,21
quadratic,200,2,0.5,10.0,1.0,0.1,0.1,0.07120430432219112,0.005410925246811698,7.052020484492893,99.72955632446754,17171.542421566854,1.84039726343661,21
quadratic,200,2,1.0,0.1,1.0,0.1,0.1,0.0641344361781774,0.0069601008727489646,0.8710047115261356,13.77456255241478,17470.686395413864,1.8436569606002644,21
